id,surname,first_name,gender,name,norm,profession_verbatim,OhdAB_01,houseno,name_old_clean,name_new,geo_long,geo_lat
774,Aaron,Unbekannt,M,Handel,Bronzehändler/in,Bronzehändler,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",72,passage Choiseul,passage Choiseul,2.33635,48.8669
776,Abler,Unbekannt,M,Handwerk,Damenschuhmacher/in,Damenschumacher,"Rohstoffgewinnung, Produktion und Fertigung",91,rue Neuve-des-Petits-Champs,rue des Petits-Champs,2.33194,48.8678
766,Abrahams,J. D.,M,Handel,Edelsteinhändler/in (Einzelhandel),Feine Steine,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",43,Valois-Palais-Royal,rue de Valois,2.33832,48.8642
779,Acker,Unbekannt,M,Handel,Papierhändler/in,Papierhändler,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",29,rue Neuve-des-Petits-Champs,rue des Petits-Champs,2.33697,48.8667
782,Adam,Unbekannt,F,Handel,Kleiderhändler/in,Kleider,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",26,rue de Richelieu,rue de Richelieu,2.33671,48.8653
4262,Adam,A.,Unbekannt,Handel,Speditionskommissionär/in,Commissions- u. Speditionsgeschäft,"Verkehr, Logistik, Schutz und Sicherheit",3,Place des Victoires,Place des Victoires,2.34111,48.8658
781,Adam,A.,M,Handel,Juwelenhändler/in,Juwelen,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",16,passage Colbert,rue Vivienne,2.33925,48.8666
784,Alber und Keimel,Unbekannt,Unbekannt,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",74,rue de Richelieu,rue de Richelieu,2.33887,48.8694
786,Alker,Unbekannt,M,Kunst/Erziehung,Lehrer/in,Lehrer,"Gesundheit, Soziales, Lehre und Erziehung",21,rue de Valois,rue de Valois,2.33832,48.8642
785,Alker,Unbekannt,M,Kunst/Erziehung,Elementarschulangestellte/r,Elementarunterricht,"Gesundheit, Soziales, Lehre und Erziehung",148,galerie de Valois,galerie de Valois,2.33797,48.8641
788,Anicker,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",9,rue Vivienne,rue Vivienne,2.33943,48.8678
2135,Arnold,Unbekannt,M,Selbstständig,Speisewirt/in,Speisewirth,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",40,rue Croix-des-Petits-Champs,rue Croix-des-Petits-Champs,2.34031,48.8643
800,Bacharach,Unbekannt,M,Handwerk,Buchbinder/in,Buchbinder,"Rohstoffgewinnung, Produktion und Fertigung",29,rue de la Fontaine-Molière,rue Molière,2.33639,48.8653
803,Balkhausen,Unbekannt,M,Handwerk,Schneider/in,Schneider,"Rohstoffgewinnung, Produktion und Fertigung",14,rue Vivienne,rue Vivienne,2.33946,48.8677
804,Balthazar,Unbekannt,M,Selbstständig,Kaffeehausangehörige/r,Kaffeehaus,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",26,rue de Richelieu,rue de Richelieu,2.33671,48.8653
